Doença,Modelo,Diametro,taxa_transmissao,taxa_recuperacao,taxa_mortalidade,num_vertices,num_repeticoes,total_infectados,total_contaminantes,total_mortos,pico_infectados,tempo_ate_pico,media_infeccao,desvio_padrao_infeccao,variancia_infeccao
Doença A,Pequenos Mundos,Grande,0.80000000000000004,0.40000000000000002,0.029999999999999999,10000,100,9700,9700,407,3366,15,193.99000000000001,646.55999999999995,418035.66999999998
Doença A,Pequenos Mundos,Pequeno,0.80000000000000004,0.40000000000000002,0.029999999999999999,10000,100,9959,9959,422,3662,10,199.16999999999999,698.60000000000002,488046.37
Doença A,Aleatórias,Grande,0.80000000000000004,0.40000000000000002,0.029999999999999999,10000,100,10000,10000,442,7167,2,199.99000000000001,1071.51,1148126.23
Doença A,Aleatórias,Pequeno,0.80000000000000004,0.40000000000000002,0.029999999999999999,10000,100,10000,10000,455,8376,3,199.99000000000001,1172.8399999999999,1375552.23
Doença A,Livre de Escala,Médio,0.80000000000000004,0.40000000000000002,0.029999999999999999,10000,100,10000,10000,388,5575,8,199.99000000000001,888,788541.77000000002
Doença B,Pequenos Mundos,Grande,0.29999999999999999,0.75,0.01,10000,100,5378,5378,20,457,37,107.55,144.53,20888.040000000001
Doença B,Pequenos Mundos,Pequeno,0.29999999999999999,0.75,0.01,10000,100,3,3,0,1,4,0.050000000000000003,0.22,0.050000000000000003
Doença B,Aleatórias,Grande,0.29999999999999999,0.75,0.01,10000,100,10000,10000,38,7294,4,199.99000000000001,1082.03,1170793.1899999999
Doença B,Aleatórias,Pequeno,0.29999999999999999,0.75,0.01,10000,100,10000,10000,37,9389,4,199.99000000000001,1315.6400000000001,1730912.3899999999
Doença B,Livre de Escala,Médio,0.29999999999999999,0.75,0.01,10000,100,9142,9142,23,2793,12,182.83000000000001,555.65999999999997,308757.83000000002
Doença C,Pequenos Mundos,Grande,0.5,0.5,0.20000000000000001,10000,100,8983,8983,1500,2117,21,179.65000000000001,473.54000000000002,224242.79000000001
Doença C,Pequenos Mundos,Pequeno,0.5,0.5,0.20000000000000001,10000,100,6,6,0,1,11,0.11,0.31,0.10000000000000001
Doença C,Aleatórias,Grande,0.5,0.5,0.20000000000000001,10000,100,10000,10000,1691,5558,4,199.99000000000001,986.25,972680.87
Doença C,Aleatórias,Pequeno,0.5,0.5,0.20000000000000001,10000,100,10000,10000,1725,8940,4,199.99000000000001,1257.5,1581305.5900000001
Doença C,Livre de Escala,Médio,0.5,0.5,0.20000000000000001,10000,100,9947,9947,1646,4082,9,198.93000000000001,762.12,580829.12

